party,x,y
"Australian.Christians",-40.6856216567824,35.577161632782
"Australian.Fishing.and.Lifestyle.Party",-32.2183135506302,22.737260344183
"Animal.Justice",36.4178024677464,28.7098077176898
"Labor",33.8374599683388,37.6767919802636
"Motoring.Enthusiast",-18.216556818075,-14.94870165172778
"Sex.Party",53.5479442681796,-4.28310979074376
"Building.Australia",-25.7618837962866,-6.27990452484578
"Mutual.Party",-16.55369968962764,-21.7852144022418
"Coalition",-19.78271420440334,38.1771953771704
"Democrats",23.5242638655162,1.168166807852454
"Democratic.Labour",-48.815148540157,12.28135851910324
"Family.First.Party",-47.190856303962,26.1744662036696
"Greens",52.9314919348154,28.3765266231168
"Help.End.Marijuana.Prohibition",27.7389086553922,-21.5980767162438
"Katter.s.Australian",-26.75960616517,10.46610019349212
"Liberal.Democrats",-2.5315311228977,-47.1635621975282
"Outdoor.Recreation",-22.8384274502922,-52.4212656125354
"Pirate.Party",47.0873948355892,8.13391407384972
"Palmer.United.Party",-14.27245667552654,43.461543137589
"Republican",11.85972263594884,-41.6054777123448
"Rise.Up.Australia.Party",-61.7730014891102,20.7143106868042
"Socialist.Alliance",55.082830686275,26.5782262394986
"Shooters.and.Fishers",-41.0236838900214,-11.11870716093482
"Smokers.Rights",-13.60356704313386,-61.5684215626962
"Secular.Party.of.Australia",52.9397014065626,-0.737688727087738
"X.Sustainable.Population.Party",17.1869811603234,-10.08255755332368
"Sports.Party",-5.92895651181406,-5.86804548314056
"Freedom.and.Prosperity.Party",-43.4258666827782,-16.59390830598808
"Australian.Voice",-17.81667872413932,-1.16472063003124
"Voluntary.Euthanasia.Party",46.5639255799304,-19.2690853053271
"The.Wikileaks.Party",40.4801428501894,-3.74438220032368
